0.00 49.89 +/- 3.28
0.05 47.37 +/- 3.27
0.10 45.42 +/- 3.26
0.15 48.01 +/- 3.30
0.20 48.05 +/- 3.27
0.25 48.87 +/- 3.29
0.30 53.82 +/- 3.25
0.35 53.52 +/- 3.27
0.40 55.31 +/- 3.24
0.45 58.35 +/- 3.27
0.50 56.84 +/- 3.25
0.55 64.96 +/- 3.15
0.60 61.12 +/- 3.20
0.75 52.16 +/- 3.26
1.00  8.16 +/- 1.79
