0.00 50.00 3.10
0.05 53.30 3.09
0.10 56.30 3.07
0.15 59.80 3.04
0.20 59.00 3.05
0.25 62.00 3.01
0.30 64.10 2.97
0.35 63.00 2.99
0.40 61.70 3.01
0.45 62.70 3.00
0.50 60.80 3.03
0.55 60.30 3.03
0.60 60.50 3.03
0.75 52.30 3.10
1.00 18.90 2.43
